Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
The Vein Doctor,MO,Healthcare Provider,3000,6/3/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
The University of New Mexico,NM,Healthcare Provider,2827,6/3/2016,Unauthorized Access/Disclosure,Paper/Films
"My Pediatrician, PA",FL,Business Associate,2500,6/1/2016,Hacking/IT Incident,Network Server
ENT and Allergy Center,AR,Healthcare Provider,16200,5/31/2016,Hacking/IT Incident,Network Server
Washington DC VA Medical Center,DC,Healthcare Provider,1062,5/31/2016,Theft,Paper/Films
"Orchid MPS Holdings, LLC Welfare Benefit Plan",MI,Health Plan,771,5/26/2016,Unauthorized Access/Disclosure,Paper/Films
Stamford Podiatry Group .P.C,CT,Healthcare Provider,40491,5/25/2016,Hacking/IT Incident,Network Server
California Health & Longevity Institute,CA,Healthcare Provider,4386,5/25/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Integrated Health Solutions PC,PA,Healthcare Provider,19776,5/25/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
"Keystone Rural Health Consortia, Inc.",PA,Healthcare Provider,800,5/24/2016,Theft,"Electronic Medical Record, Paper/Films"
Berkeley Endocrine Clinic,CA,Business Associate,1370,5/24/2016,Unauthorized Access/Disclosure,Email
Aflac,GA,Health Plan,930,5/20/2016,Unauthorized Access/Disclosure,Paper/Films
"Coordinated Health Mutual, Inc.",OH,Health Plan,591,5/20/2016,Unauthorized Access/Disclosure,Paper/Films
"Tallahassee Memorial HealthCare, Inc.",FL,Healthcare Provider,505,5/20/2016,Hacking/IT Incident,Other
Emergency Room Associates doing business as Emergency Medicine Associates,AZ,Healthcare Provider,1067,5/19/2016,Theft,Paper/Films
Complete Chiropractic & Bodywork Therapies,MI,Healthcare Provider,4082,5/17/2016,Hacking/IT Incident,"Desktop Computer, Network Server"
San Juan County New Mexico,NM,Healthcare Provider,12500,5/17/2016,Hacking/IT Incident,Desktop Computer
Surgical Care Affiliates,AL,Business Associate,9009,5/16/2016,Theft,Laptop
"Associates In EyeCare, P.S.C.",KY,Healthcare Provider,971,5/16/2016,Theft,"Laptop, Other Portable Electronic Device"
California Correctional Health Care Services,CA,Healthcare Provider,400000,5/15/2016,Theft,Laptop
"Imperial Valley Family Care Medical Group, APC",CA,Healthcare Provider,649,5/13/2016,Theft,Laptop
Pulaski County Special School District-Employee Benefits Division,AR,Health Plan,2602,5/12/2016,Unauthorized Access/Disclosure,Email
"Medical Colleagues of Texas, LLP ",TX,Healthcare Provider,68631,5/11/2016,Hacking/IT Incident,Network Server
"Northwest Oncology & Hematology, S.C. ",IL,Healthcare Provider,1625,5/11/2016,Unauthorized Access/Disclosure,Email
Family Medicine of Weston,FL,Healthcare Provider,500,5/11/2016,Hacking/IT Incident,Network Server
HeartCare Consultants,FL,Healthcare Provider,16000,5/11/2016,Hacking/IT Incident,Electronic Medical Record
UnityPoint Health Affiliated Covered Entity,IA,Healthcare Provider,1620,5/11/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Lafayette Pain Care PC,IN,Healthcare Provider,7500,5/9/2016,Hacking/IT Incident,Network Server
"Southeast Eye Institute, P.A. dba eye Associates of Pinellas",FL,Healthcare Provider,87314,5/5/2016,Hacking/IT Incident,Network Server
UnitedHealth Group Single Affiliated Covered Entity (SACE),MN,Health Plan,5330,5/4/2016,Unauthorized Access/Disclosure,Paper/Films
"Florida Medical Clinic, PA",FL,Healthcare Provider,1000,5/4/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Managed Health Services,IN,Health Plan,610,5/1/2016,Unauthorized Access/Disclosure,Paper/Films
PruittHealth Home Health -- Low Country,SC,Healthcare Provider,1500,4/29/2016,Unauthorized Access/Disclosure,Paper/Films
Northstar Healthcare Acquisitions LLC,TX,Healthcare Provider,19898,4/28/2016,Theft,Laptop
"Family & Children's Services of Mid Michigan, Inc.",MI,Healthcare Provider,981,4/27/2016,Hacking/IT Incident,Network Server
Comanche County Hospital Authority,OK,Healthcare Provider,2199,4/25/2016,Hacking/IT Incident,Email
Children's National Medical Center,DC,Healthcare Provider,4107,4/25/2016,Unauthorized Access/Disclosure,Network Server
Mayfield Clinic Inc,OH,Healthcare Provider,23341,4/23/2016,Hacking/IT Incident,Email
Ohio Department of Mental Health and Addiction Services,OH,Healthcare Provider,59000,4/22/2016,Unauthorized Access/Disclosure,Paper/Films
Edwin Shaw Rehabilitation,OH,Healthcare Provider,975,4/22/2016,Loss,Other
"Kaiser Foundation Health Plan, Inc.",CA,Business Associate,2451,4/22/2016,Theft,Paper/Films
Wyoming Medical Center,WY,Healthcare Provider,3184,4/20/2016,Hacking/IT Incident,Email
Lake Pulmonary Critical PA,FL,Healthcare Provider,648,4/20/2016,Theft,Paper/Films
Lake Pulmonary Critical Care PA,FL,Healthcare Provider,648,4/20/2016,Theft,Paper/Films
"Quarles & Brady, LLP",WI,Business Associate,1032,4/19/2016,Theft,Laptop
Florida Hospital Medical Group,FL,Healthcare Provider,1906,4/18/2016,Unauthorized Access/Disclosure,Email
"Vail Clinic, Inc. dba Vail Valley Medical Center, and dba Howard Head Sports Medicine",CO,Healthcare Provider,3118,4/15/2016,Unauthorized Access/Disclosure,"Laptop, Network Server"
Atique Orthodontics,OR,Healthcare Provider,1506,4/15/2016,Hacking/IT Incident,Desktop Computer
Oneida Tribe of Indians of Wisconsin,WI,Healthcare Provider,2734,4/15/2016,Theft,"Desktop Computer, Other Portable Electronic Device"
Florida Department of Health,FL,Healthcare Provider,1076,4/13/2016,Unauthorized Access/Disclosure,Paper/Films
American Fidelity Assurance Company,OK,Health Plan,2664,4/13/2016,Unauthorized Access/Disclosure,Paper/Films
United Community & Family Services,CT,Healthcare Provider,1000,4/12/2016,Unauthorized Access/Disclosure,Email
"OptumRx, Inc.",CA,Healthcare Provider,6229,4/12/2016,Theft,Laptop
"Sacred Heart Health System, Inc",FL,Healthcare Provider,532,4/12/2016,Unauthorized Access/Disclosure,Other
"Mark Anthony Quintero, M.D., L.L.C.",FL,Healthcare Provider,650,4/12/2016,Hacking/IT Incident,Network Server
Pain Treatment Centers of America ,AR,Healthcare Provider,19397,4/11/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
"BioReference Laboratories, Inc",NJ,Healthcare Provider,3563,4/8/2016,Unauthorized Access/Disclosure,Other
Indian Health Service Northern Navajo Medical Center,NM,Health Plan,7421,4/7/2016,Theft,Paper/Films
RMA Medical Centers of Florida,FL,Healthcare Provider,3906,4/7/2016,Theft,Laptop
Pacific Gas and Electric Company,CA,Business Associate,2426,4/5/2016,Unauthorized Access/Disclosure,Paper/Films
Target Corporation Health Plan,MN,Business Associate,719,4/5/2016,Unauthorized Access/Disclosure,Paper/Films
Sisters of Charity of Leavenworth Health System Health Benefits Plan,CO,Business Associate,540,4/5/2016,Unauthorized Access/Disclosure,Paper/Films
Einstein Healthcare Network ,PA,Healthcare Provider,2939,4/1/2016,Unauthorized Access/Disclosure,Other
"Pointe Medical Services, Inc.",FL,Healthcare Provider,2000,4/1/2016,Theft,"Desktop Computer, Other Portable Electronic Device"
"Aurora Health Care, Inc.",WI,Healthcare Provider,869,4/1/2016,Unauthorized Access/Disclosure,Network Server
Mercy Iowa City,IA,Healthcare Provider,15625,3/25/2016,Hacking/IT Incident,"Desktop Computer, Email, Network Server"
"Morton Medical Center, PLLC",WA,Healthcare Provider,3000,3/24/2016,Hacking/IT Incident,"Desktop Computer, Network Server"
"Excel Plus Home Health, Incorporated",TX,Healthcare Provider,524,3/23/2016,Theft,Desktop Computer
"Metropolitan Jewish Health System, Inc. d/b/a MJHS",NY,Business Associate,2483,3/22/2016,Hacking/IT Incident,Email
National Counseling Group,VA,Healthcare Provider,23000,3/21/2016,Hacking/IT Incident,Email
Bozeman Health Deaconess Hospital,MT,Healthcare Provider,1124,3/21/2016,Unauthorized Access/Disclosure,Paper/Films
Val Verde Regional Medical Center,TX,Healthcare Provider,2000,3/18/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server"
"Lindsay House Surgery Center, LLC",NY,Healthcare Provider,773,3/18/2016,Theft,Paper/Films
Hospital for Special Surgery,NY,Healthcare Provider,647,3/17/2016,Unauthorized Access/Disclosure,Email
W. Christopher Bryant DDS PC,MI,Healthcare Provider,2200,3/17/2016,Loss,Other Portable Electronic Device
"Laborers Funds Administrative Office of Northern California, Inc.",CA,Health Plan,2373,3/15/2016,Unauthorized Access/Disclosure,Paper/Films
JASACare,NY,Healthcare Provider,1154,3/14/2016,Hacking/IT Incident,Email
Vibrant Body Wellness,CA,Healthcare Provider,726,3/11/2016,Theft,"Laptop, Other Portable Electronic Device"
Virtua Medical Group,NJ,Healthcare Provider,1654,3/11/2016,Unauthorized Access/Disclosure,"Network Server, Other"
Karmanos Cancer Center,MI,Healthcare Provider,2808,3/10/2016,Loss,Other Portable Electronic Device
UHHS Geauga Medical Center,OH,Healthcare Provider,677,3/10/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Vidant Health,NC,Healthcare Provider,897,3/10/2016,Unauthorized Access/Disclosure,Other
Cromwell Fire District,CT,Healthcare Provider,500,3/10/2016,Unauthorized Access/Disclosure,Paper/Films
Illinois Valley Podiatry Group,IL,Healthcare Provider,26588,3/8/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Complete Family Foot Care,NE,Healthcare Provider,5883,3/7/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Walgreen Co.,IL,Healthcare Provider,880,3/4/2016,Theft,Paper/Films
"Premier Healthcare, LLC",IN,Healthcare Provider,205748,3/4/2016,Theft,Laptop
"Cardiology Associates of Jonesboro, Inc.",AR,Healthcare Provider,1669,3/4/2016,Unauthorized Access/Disclosure,Paper/Films
21st Century Oncology,FL,Healthcare Provider,2213597,3/4/2016,Hacking/IT Incident,Network Server
City of Hope,CA,Healthcare Provider,1024,3/4/2016,Hacking/IT Incident,Email
Centers Plan for Healthy Living ,NY,Health Plan,6893,3/3/2016,Theft,Laptop
"Walmart Stores, Inc.",AR,Healthcare Provider,4800,3/1/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Group Life Hospital and Medical Program,CT,Health Plan,3000,2/29/2016,Hacking/IT Incident,Network Server
Mind Springs Health,CO,Healthcare Provider,2147,2/27/2016,Unauthorized Access/Disclosure,Network Server
Eye Institute of Corpus Christi,TX,Healthcare Provider,43961,2/26/2016,Theft,Electronic Medical Record
Freeport Memorial Hospital,IL,Healthcare Provider,1349,2/26/2016,Theft,Other
